#Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress	Elastic lattice strain	True stress
#	MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa		MPa
#	FCC111		FCC311		BCC110		BCC211		BCC200		FCC200		FCC220		FCC331		BCC321		BCC220		FCC222		FCC400
-0.001100105	784.7157131	-0.001444186	784.7157131	-0.001507715	784.7157131	-0.001673381	784.7157131	-0.002170771	784.7157131	-0.001977534	784.7157131	-0.001353537	784.7157131	-0.001284036	784.7157131	-0.001461877	784.7157131	-0.001847276	784.7157131	-0.001001738	784.7157131	-0.002002471	784.7157131
-0.00115116	834.4107446	-0.001683039	834.4107446	-0.0014751	834.4107446	-0.001765871	834.4107446	-0.00212086	834.4107446	-0.002083165	834.4107446	-0.001419601	834.4107446	-0.001384579	834.4107446	-0.001835846	834.4107446	-0.001430181	834.4107446	-0.001023891	834.4107446	-0.002427608	834.4107446
-0.001205106	936.6027867	-0.001801082	936.6027867	-0.001727621	936.6027867	-0.001854935	936.6027867	-0.002422434	936.6027867	-0.00242063	936.6027867	-0.001656332	936.6027867	-0.001488755	936.6027867	-0.001863305	936.6027867	-0.001730648	936.6027867	-0.001209791	936.6027867	-0.002521959	936.6027867
-0.001303846	987.6665917	-0.001840738	987.6665917	-0.001980636	987.6665917	-0.002080165	987.6665917	-0.002243177	987.6665917	-0.002363923	987.6665917	-0.001637457	987.6665917	-0.001620793	987.6665917	-0.002051597	987.6665917	-0.00185716	987.6665917	-0.00134753	987.6665917	-0.002496429	987.6665917
-0.001276873	1038.785411	-0.001977225	1038.785411	-0.001753318	1038.785411	-0.002124697	1038.785411	-0.002037207	1038.785411	-0.002597424	1038.785411	-0.001767226	1038.785411	-0.00175283	1038.785411	-0.001960066	1038.785411	-0.002019254	1038.785411	-0.001299369	1038.785411	-0.00257968	1038.785411
-0.001370314	1089.509517	-0.002023336	1089.509517	-0.00175826	1089.509517	-0.002182075	1089.509517	-0.002376741	1089.509517	-0.002363923	1089.509517	-0.001821494	1089.509517	-0.001740717	1089.509517	-0.002094747	1089.509517	-0.002006405	1089.509517	-0.00134464	1089.509517	-0.002854964	1089.509517
-0.001382837	1141.061895	-0.002065758	1141.061895	-0.00194555	1141.061895	-0.002294262	1141.061895	-0.002799929	1141.061895	-0.002421186	1141.061895	-0.001958342	1141.061895	-0.001796439	1141.061895	-0.002079056	1141.061895	-0.00200937	1141.061895	-0.001367757	1141.061895	-0.002741742	1141.061895
-0.001377539	1193.716426	-0.002213312	1193.716426	-0.002022147	1193.716426	-0.002429571	1193.716426	-0.003340513	1193.716426	-0.002401172	1193.716426	-0.002088111	1193.716426	-0.001929688	1193.716426	-0.002279117	1193.716426	-0.002366174	1193.716426	-0.001441924	1193.716426	-0.002787253	1193.716426
-0.001517701	1233.982918	-0.002155212	1233.982918	-0.00171329	1233.982918	-0.002485236	1233.982918	-0.002724008	1233.982918	-0.002372818	1233.982918	-0.002117998	1233.982918	-0.001938168	1233.982918	-0.002743308	1233.982918	-0.00232565	1233.982918	-0.001443851	1233.982918	-0.002900475	1233.982918
-0.00157839	1285.633497	-0.002240056	1285.633497	-0.001866977	1285.633497	-0.002649662	1285.633497	-0.003296226	1285.633497	-0.002421186	1285.633497	-0.002198219	1285.633497	-0.002002369	1285.633497	-0.002621703	1285.633497	-0.001992567	1285.633497	-0.00155173	1285.633497	-0.00325124	1285.633497
