0.0000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  
1.0606E+02  6.342034E-04  5.206518E-04  5.050905E-04  5.738470E-04  5.117415E-04  6.723537E-04  5.084131E-04  5.491392E-04  5.283108E-04  
2.1535E+02  1.308765E-03  1.058122E-03  9.763346E-04  1.160170E-03  1.024717E-03  1.373000E-03  1.046508E-03  1.105671E-03  1.079251E-03  
3.2629E+02  1.924638E-03  1.572132E-03  1.420206E-03  1.749771E-03  1.532870E-03  2.088412E-03  1.594094E-03  1.663303E-03  1.596141E-03  
4.3871E+02  2.610805E-03  2.095252E-03  1.903941E-03  2.311235E-03  2.034162E-03  2.726322E-03  2.125217E-03  2.220054E-03  2.135587E-03  
5.5092E+02  3.213629E-03  2.622608E-03  2.394862E-03  2.904641E-03  2.552717E-03  3.444570E-03  2.643110E-03  2.764241E-03  2.664015E-03  
6.5775E+02  3.905357E-03  3.136483E-03  2.880504E-03  3.459354E-03  3.049416E-03  4.088758E-03  3.150522E-03  3.311131E-03  3.206582E-03  
7.6334E+02  4.493989E-03  3.668360E-03  3.350760E-03  4.047854E-03  3.564145E-03  4.836173E-03  3.685983E-03  3.855725E-03  3.715611E-03  
8.6692E+02  5.214108E-03  4.156667E-03  3.806879E-03  4.619228E-03  4.016478E-03  5.495876E-03  4.218633E-03  4.426159E-03  4.259588E-03  
9.6265E+02  5.800362E-03  4.586077E-03  4.205721E-03  5.170777E-03  4.375641E-03  6.279371E-03  4.724570E-03  4.938436E-03  4.752109E-03  
1.0442E+03  6.485125E-03  4.883056E-03  4.513874E-03  5.639612E-03  4.597658E-03  6.974155E-03  5.188923E-03  5.431233E-03  5.221424E-03  
1.1057E+03  7.041312E-03  5.085676E-03  4.749070E-03  5.990298E-03  4.744189E-03  7.740068E-03  5.566516E-03  5.826224E-03  5.580099E-03  
1.1497E+03  7.588663E-03  5.190005E-03  4.893171E-03  6.243825E-03  4.817002E-03  8.477837E-03  5.862684E-03  6.159159E-03  5.873582E-03  
1.1797E+03  8.067058E-03  5.244532E-03  4.987112E-03  6.423421E-03  4.861805E-03  9.199610E-03  6.096132E-03  6.431911E-03  6.113798E-03  
1.2021E+03  8.462273E-03  5.278300E-03  5.052354E-03  6.552613E-03  4.893820E-03  9.913733E-03  6.274991E-03  6.677233E-03  6.304545E-03  
1.2209E+03  8.779977E-03  5.300990E-03  5.102161E-03  6.646619E-03  4.916994E-03  1.060086E-02  6.422082E-03  6.893825E-03  6.467557E-03  
1.2386E+03  9.028433E-03  5.316222E-03  5.137723E-03  6.720671E-03  4.939290E-03  1.127157E-02  6.547939E-03  7.097584E-03  6.614172E-03  
1.2546E+03  9.233290E-03  5.327566E-03  5.167954E-03  6.781031E-03  4.957992E-03  1.193885E-02  6.660337E-03  7.286377E-03  6.749719E-03  
1.2679E+03  9.402191E-03  5.334188E-03  5.190786E-03  6.829339E-03  4.972827E-03  1.259278E-02  6.761123E-03  7.462320E-03  6.874372E-03  
1.2790E+03  9.541512E-03  5.337735E-03  5.209386E-03  6.868148E-03  4.984237E-03  1.323074E-02  6.850302E-03  7.629830E-03  6.989912E-03  
1.2891E+03  9.662036E-03  5.343021E-03  5.226251E-03  6.902735E-03  4.994966E-03  1.387237E-02  6.934845E-03  7.791689E-03  7.104235E-03  
