   0.0000000e+00   0.0000000e+00   0.0000000e+00
   1.0000800e-01   1.9993810e+07   1.9739850e+07
   2.0000200e-01   4.0294510e+07   3.9566135e+07
   3.0000500e-01   6.0491455e+07   5.9432350e+07
   4.0000700e-01   8.0539135e+07   7.9102590e+07
   5.0000800e-01   1.0063034e+08   9.8782270e+07
   6.0000600e-01   1.2085835e+08   1.1870780e+08
   7.0000300e-01   1.4099985e+08   1.3845870e+08
   8.0001000e-01   1.6101950e+08   1.5813410e+08
   9.0000300e-01   1.8110225e+08   1.7798750e+08
   1.0000100e+00   2.0128940e+08   1.9783350e+08
   1.1000100e+00   2.2145340e+08   2.1758405e+08
   1.2000100e+00   2.4156570e+08   2.3735765e+08
   1.3000100e+00   2.6171390e+08   2.5715815e+08
   1.4000000e+00   2.8189730e+08   2.7695560e+08
   1.5000100e+00   3.0203775e+08   2.9672245e+08
   1.6000000e+00   3.2213080e+08   3.1647770e+08
   1.7000000e+00   3.4225170e+08   3.3629855e+08
   1.8000000e+00   3.6241390e+08   3.5611755e+08
   1.9000000e+00   3.8257445e+08   3.7588905e+08
   2.0000000e+00   4.0272120e+08   3.9569620e+08
   2.1000100e+00   4.2288100e+08   4.1551740e+08
   2.2000000e+00   4.4304720e+08   4.3530145e+08
   2.3000100e+00   4.6319825e+08   4.5509620e+08
   2.4000100e+00   4.8332980e+08   4.7488600e+08
   2.5000100e+00   5.0346705e+08   4.9468420e+08
   2.6000100e+00   5.2362175e+08   5.1450160e+08
   2.7000100e+00   5.4378585e+08   5.3429910e+08
   2.8000000e+00   5.6394960e+08   5.5410550e+08
   2.9000100e+00   5.8411535e+08   5.7393660e+08
   3.0000100e+00   6.0428310e+08   5.9373845e+08
   3.1000100e+00   6.2444545e+08   6.1354275e+08
   3.2000100e+00   6.4459905e+08   6.3335995e+08
   3.3000100e+00   6.6474930e+08   6.5315975e+08
   3.4000100e+00   6.8490855e+08   6.7297485e+08
   3.5000000e+00   7.0507655e+08   6.9279355e+08
   3.6000100e+00   7.2525160e+08   7.1260310e+08
   3.7000100e+00   7.4542530e+08   7.3243370e+08
   3.8000100e+00   7.6559930e+08   7.5225730e+08
   3.9000100e+00   7.8577165e+08   7.7206815e+08
   4.0000100e+00   8.0593820e+08   7.9189790e+08
   4.1000000e+00   8.2610410e+08   8.1171500e+08
   4.2000100e+00   8.4627260e+08   8.3153130e+08
   4.3000000e+00   8.6644655e+08   8.5136325e+08
   4.4000000e+00   8.8662725e+08   8.7118400e+08
   4.5000100e+00   9.0681055e+08   8.9101125e+08
   4.6000100e+00   9.2699385e+08   9.1085015e+08
   4.7000000e+00   9.4717300e+08   9.3067635e+08
   4.8000100e+00   9.6735500e+08   9.5050825e+08
   4.9000000e+00   9.8753285e+08   9.7034365e+08
   5.0000100e+00   1.0077120e+09   9.9016790e+08
   5.1000100e+00   1.0278966e+09   1.0100059e+09
   5.2000100e+00   1.0480825e+09   1.0298436e+09
   5.3000100e+00   1.0682013e+09   1.0494832e+09
   5.4000100e+00   1.0878775e+09   1.0678478e+09
   5.5000000e+00   1.1071980e+09   1.0847670e+09
   5.6000100e+00   1.1263810e+09   1.1008170e+09
   5.7000100e+00   1.1453786e+09   1.1159365e+09
   5.8000000e+00   1.1640642e+09   1.1306110e+09
   5.9000000e+00   1.1821886e+09   1.1450235e+09
   6.0000100e+00   1.1987600e+09   1.1593025e+09
   6.1000100e+00   1.2116530e+09   1.1725340e+09
   6.2000000e+00   1.2221345e+09   1.1839885e+09
   6.3000100e+00   1.2298010e+09   1.1915015e+09
   6.4000100e+00   1.2362395e+09   1.1954980e+09
   6.5000000e+00   1.2405900e+09   1.1975485e+09
   6.6000000e+00   1.2435255e+09   1.1993090e+09
   6.7000000e+00   1.2454400e+09   1.2010040e+09
   6.8000100e+00   1.2456930e+09   1.2024980e+09
   6.9000100e+00   1.2455320e+09   1.2037615e+09
   7.0000100e+00   1.2450170e+09   1.2048545e+09
   7.1000000e+00   1.2441390e+09   1.2071210e+09
   7.2000000e+00   1.2431890e+09   1.2093350e+09
   7.3000100e+00   1.2423305e+09   1.2100550e+09
   7.4000000e+00   1.2416025e+09   1.2102300e+09
   7.5000100e+00   1.2411985e+09   1.2102845e+09
